model,label,samples,groups,visibility_rate,mean_error_px,sample_weighted_mean_error_px,median_error_px,std_error_px,mean_error_cube_widths,median_error_cube_widths,baseline_mean_error_px,sample_weighted_baseline_mean_error_px,error_reduction_pct,r2_u,r2_v,std_group_mean_px,std_seed_mean_px,ci95_low_px,ci95_high_px
nature_cnn_local_grid,NatureCNN Local-grid,1196,10,0.934375,19.95144504930021,19.953240131828892,16.02049698640544,14.859138701047561,1.6938936876819721,0.8067420326030847,50.218711853027344,50.25959854700095,60.27089442737772,0.8012362341626456,0.753619948330204,4.312645140173925,0.7566801089588266,19.341396359203877,20.52399877029642
nature_cnn_spatial_softmax,NatureCNN Spatial softmax,1196,10,0.934375,26.843126707061963,26.833699601259077,22.638101548597064,17.963235185012977,2.0340272627589564,1.164027612009836,50.218711853027344,50.25959854700095,46.54756022889948,0.6797791846217,0.5231694949009027,3.059624833330447,0.5907655024729133,26.363069979762837,27.257775865420815
compact_vit_local_grid,CompactViT Local-grid,1196,10,0.934375,25.577921952882434,25.591100964776302,19.035366663864046,20.838167217322205,1.9512303668584072,0.9633784869519136,50.218711853027344,50.25959854700095,49.066949332073484,0.6378224948661555,0.6187744640999062,11.586087225132601,0.8579114424654667,24.814997434791245,26.18543067847491
compact_vit_spatial_softmax,CompactViT Spatial softmax,1196,10,0.934375,18.01925264717886,18.014333487408805,12.410458428984462,17.754968170438826,1.603611381325743,0.6160833673998023,50.218711853027344,50.25959854700095,64.11844911531198,0.791867729364667,0.7567402642321174,5.018309900212594,1.5181827788433615,16.91471687354965,19.155183583619863
dinov2_cls_linear256,DINOv2 CLS linear,1196,10,0.934375,27.63487330173266,27.642059540343787,24.033641795440836,17.61569000748051,2.0978637986713293,1.2255936756955577,50.218711853027344,50.25959854700095,44.97096344762825,0.6365329097191377,0.6498326024763967,2.1834382206669067,1.0209428112019265,26.97444145065134,28.574029742211554
dinov2_local_grid,DINOv2 Local-grid,1196,10,0.934375,12.960572737848807,12.972994578747384,9.585633433412319,12.196570547926303,1.297460498093972,0.4766971437678311,50.218711853027344,50.25959854700095,74.19174594565492,0.8954881305323089,0.8851773806463604,2.534194606428461,0.6927136593177523,12.393775133948353,13.471367636913289
dinov2_spatial_softmax,DINOv2 Spatial softmax,1196,10,0.934375,8.15250507557371,8.154043007769967,5.917380196011493,8.966276978488192,0.9564856224203637,0.2948370842785048,50.218711853027344,50.25959854700095,83.76600120800937,0.9492440898496702,0.9566720281125342,1.4601002026992516,0.24165865661250713,7.999157312488478,8.361571244963102
dinov2_afa256,DINOv2 AFA,1196,10,0.934375,14.567806513505394,14.588037012048765,12.508879638824261,10.590702619063677,1.2797126644272003,0.6299936461488145,50.218711853027344,50.25959854700095,70.9912779998414,0.8923441475543086,0.8844981228323059,1.3959489706515271,1.1458930742558002,13.669150379033912,15.46646264797688
r3m_global_linear256,R3M Global linear,1196,10,0.934375,22.524628290026573,22.519032503339403,17.827114708057838,16.73465367994601,1.912755159831362,0.8892397211922287,50.218711853027344,50.25959854700095,55.14694133145369,0.7109462548563825,0.8393857999171699,3.1151149498664625,1.114342467327522,21.75518043227394,23.426498637289384
r3m_local_grid,R3M Local-grid,1196,10,0.934375,21.235562703229295,21.235475180973452,15.936387993961251,17.182331334778215,1.8282360397190192,0.7988813937192716,50.218711853027344,50.25959854700095,57.71384426311376,0.7503850381861026,0.7450607889347243,5.677177191110288,0.6800223749442088,20.642293644360986,21.727285770583915
r3m_spatial_softmax,R3M Spatial softmax,1196,10,0.934375,16.778139057539608,16.77485129099809,12.1291105342414,14.18862594085934,1.5327285536233377,0.6183024135616315,50.218711853027344,50.25959854700095,66.58986573243183,0.8508369307621556,0.7832184805197697,3.809011785483687,0.37461690004474385,16.480654891405134,17.07562322367408
r3m_afa256,R3M AFA,1196,10,0.934375,36.465207530121674,36.47498666702026,32.637692455520835,22.116300637675778,2.6022269329704883,1.6804670219986029,50.218711853027344,50.25959854700095,27.387210494680513,0.377784817939554,0.4349728779488432,10.350741008397344,1.0595824378478358,35.734451887909486,37.344412517436105
