model,env,repeat_index,seed,episodes,mean_reward,success_rate
compact_vit_local_grid,plaster_table_randomized,0,10000,32,50.86954069137573,1.0
compact_vit_local_grid,plaster_table_randomized,1,11000,32,50.14105412364006,0.96875
compact_vit_local_grid,plaster_table_randomized,2,12000,32,51.72234010696411,1.0
compact_vit_local_grid,wood_table_randomized,0,10000,32,46.61966049671173,1.0
compact_vit_local_grid,wood_table_randomized,1,11000,32,46.0891150534153,0.96875
compact_vit_local_grid,wood_table_randomized,2,12000,32,42.973271454684436,0.9375
compact_vit_spatial_softmax,plaster_table_randomized,0,10000,32,48.484222650527954,1.0
compact_vit_spatial_softmax,plaster_table_randomized,1,11000,32,48.24118268489838,1.0
compact_vit_spatial_softmax,plaster_table_randomized,2,12000,32,48.75305563211441,1.0
compact_vit_spatial_softmax,wood_table_randomized,0,10000,32,44.53747406601906,0.96875
compact_vit_spatial_softmax,wood_table_randomized,1,11000,32,45.669428527355194,0.96875
compact_vit_spatial_softmax,wood_table_randomized,2,12000,32,46.37635952234268,1.0
dinov2_afa256,plaster_table_randomized,0,10000,32,48.72580933570862,1.0
dinov2_afa256,plaster_table_randomized,1,11000,32,49.755572855472565,1.0
dinov2_afa256,plaster_table_randomized,2,12000,32,49.76739287376404,1.0
dinov2_afa256,wood_table_randomized,0,10000,32,47.29771703481674,1.0
dinov2_afa256,wood_table_randomized,1,11000,32,49.0813148021698,1.0
dinov2_afa256,wood_table_randomized,2,12000,32,50.032458424568176,1.0
dinov2_cls_linear256,plaster_table_randomized,0,10000,32,30.474723160266876,0.625
dinov2_cls_linear256,plaster_table_randomized,1,11000,32,32.80797016620636,0.6875
dinov2_cls_linear256,plaster_table_randomized,2,12000,32,32.3517547249794,0.71875
dinov2_cls_linear256,wood_table_randomized,0,10000,32,27.251994907855988,0.5
dinov2_cls_linear256,wood_table_randomized,1,11000,32,30.006426215171814,0.65625
dinov2_cls_linear256,wood_table_randomized,2,12000,32,27.84399425983429,0.59375
dinov2_local_grid,plaster_table_randomized,0,10000,32,51.21853083372116,1.0
dinov2_local_grid,plaster_table_randomized,1,11000,32,52.110090374946594,1.0
dinov2_local_grid,plaster_table_randomized,2,12000,32,51.809298396110535,1.0
dinov2_local_grid,wood_table_randomized,0,10000,32,47.05574405193329,1.0
dinov2_local_grid,wood_table_randomized,1,11000,32,50.044982850551605,1.0
dinov2_local_grid,wood_table_randomized,2,12000,32,48.59301298856735,1.0
dinov2_spatial_softmax,plaster_table_randomized,0,10000,32,49.51071119308472,1.0
dinov2_spatial_softmax,plaster_table_randomized,1,11000,32,49.639193534851074,1.0
dinov2_spatial_softmax,plaster_table_randomized,2,12000,32,49.88358247280121,1.0
dinov2_spatial_softmax,wood_table_randomized,0,10000,32,48.633281886577606,1.0
dinov2_spatial_softmax,wood_table_randomized,1,11000,32,49.5868479013443,1.0
dinov2_spatial_softmax,wood_table_randomized,2,12000,32,49.074204325675964,1.0
nature_cnn_local_grid,plaster_table_randomized,0,10000,32,46.728655397892,1.0
nature_cnn_local_grid,plaster_table_randomized,1,11000,32,46.61627195775509,1.0
nature_cnn_local_grid,plaster_table_randomized,2,12000,32,46.78035223484039,1.0
nature_cnn_local_grid,wood_table_randomized,0,10000,32,40.621077448129654,0.90625
nature_cnn_local_grid,wood_table_randomized,1,11000,32,39.19345362484455,0.9375
nature_cnn_local_grid,wood_table_randomized,2,12000,32,34.42121885716915,0.78125
nature_cnn_spatial_softmax,plaster_table_randomized,0,10000,32,44.96915280818939,0.96875
nature_cnn_spatial_softmax,plaster_table_randomized,1,11000,32,43.295082092285156,0.96875
nature_cnn_spatial_softmax,plaster_table_randomized,2,12000,32,45.8577615916729,0.96875
nature_cnn_spatial_softmax,wood_table_randomized,0,10000,32,37.738228280097246,0.96875
nature_cnn_spatial_softmax,wood_table_randomized,1,11000,32,33.00146269798279,0.84375
nature_cnn_spatial_softmax,wood_table_randomized,2,12000,32,34.389597445726395,0.90625
r3m_afa256,plaster_table_randomized,0,10000,32,46.85826724767685,1.0
r3m_afa256,plaster_table_randomized,1,11000,32,46.830016136169434,1.0
r3m_afa256,plaster_table_randomized,2,12000,32,46.14140570163727,1.0
r3m_afa256,wood_table_randomized,0,10000,32,25.160227745771408,0.59375
r3m_afa256,wood_table_randomized,1,11000,32,22.430744037032127,0.46875
r3m_afa256,wood_table_randomized,2,12000,32,20.48985493928194,0.53125
r3m_global_linear256,plaster_table_randomized,0,10000,32,38.368636041879654,0.9375
r3m_global_linear256,plaster_table_randomized,1,11000,32,42.06780540943146,0.96875
r3m_global_linear256,plaster_table_randomized,2,12000,32,41.2870372235775,0.9375
r3m_global_linear256,wood_table_randomized,0,10000,32,15.867897480726242,0.03125
r3m_global_linear256,wood_table_randomized,1,11000,32,16.528132006525993,0.09375
r3m_global_linear256,wood_table_randomized,2,12000,32,15.019661903381348,0.0
r3m_local_grid,plaster_table_randomized,0,10000,32,50.42673122882843,1.0
r3m_local_grid,plaster_table_randomized,1,11000,32,50.17552196979523,1.0
r3m_local_grid,plaster_table_randomized,2,12000,32,50.70194637775421,1.0
r3m_local_grid,wood_table_randomized,0,10000,32,34.91998039186001,0.875
r3m_local_grid,wood_table_randomized,1,11000,32,27.863037422299385,0.6875
r3m_local_grid,wood_table_randomized,2,12000,32,30.26112201809883,0.84375
r3m_spatial_softmax,plaster_table_randomized,0,10000,32,46.71375274658203,1.0
r3m_spatial_softmax,plaster_table_randomized,1,11000,32,48.47241771221161,1.0
r3m_spatial_softmax,plaster_table_randomized,2,12000,32,47.57276916503906,1.0
r3m_spatial_softmax,wood_table_randomized,0,10000,32,35.61794655025005,0.90625
r3m_spatial_softmax,wood_table_randomized,1,11000,32,35.364158913493156,0.8125
r3m_spatial_softmax,wood_table_randomized,2,12000,32,36.61235323548317,0.9375
