model,env,episodes,runs,mean_reward,mean_reward_ci95_low,mean_reward_ci95_high,std_reward,std_mean_reward_across_runs,success_rate,success_rate_ci95_low,success_rate_ci95_high,std_success_rate_across_runs,mean_length,mean_max_object_height,mean_final_position_error
compact_vit_local_grid,plaster_table_randomized,96,3,50.91097830732664,49.374413250635065,51.86378135979176,5.293997070499499,0.7914569775269206,0.9895833333333334,0.9583333333333334,1.0,0.018042195912175808,1000.0,0.33855975601666916,0.09536733889884393
compact_vit_local_grid,wood_table_randomized,96,3,45.22734900160382,42.13483727153701,47.720982903738815,11.548045286013906,1.9700301539558318,0.96875,0.9166666666666666,1.0,0.03125,1000.0,0.3286074171386038,0.1224698754279719
compact_vit_spatial_softmax,plaster_table_randomized,96,3,48.49282032251358,47.645747909446555,49.22865078796943,3.805511961116319,0.2560447587739036,1.0,1.0,1.0,0.0,1000.0,0.35432027916734415,0.10687781207525404
compact_vit_spatial_softmax,wood_table_randomized,96,3,45.52775403857231,43.25443453565239,47.12877386361361,8.690489563199636,0.9275929473365748,0.9791666666666666,0.9375,1.0,0.018042195912175808,1000.0,0.347612142834502,0.12809107797996452
dinov2_afa256,plaster_table_randomized,96,3,49.41625835498174,48.291021521886194,50.41229984809955,4.694105084992412,0.5979755968010022,1.0,1.0,1.0,0.0,1000.0,0.34577295805017155,0.11009842132383103
dinov2_afa256,wood_table_randomized,96,3,48.803830087184906,47.01965101162592,50.36387180487314,5.9039710048993355,1.3883266699493269,1.0,1.0,1.0,0.0,1000.0,0.34862054387728375,0.11391723169132699
dinov2_cls_linear256,plaster_table_randomized,96,3,31.87814935048421,29.60612164884806,34.13409029841423,10.126823038475534,1.2366231987733518,0.6770833333333334,0.5729166666666666,0.78125,0.04773516348912333,1000.0,0.23432809479224184,0.2343234017219705
dinov2_cls_linear256,wood_table_randomized,96,3,28.367471794287365,26.175483617186547,30.792058983445163,9.691557816312107,1.4499118950778336,0.5833333333333334,0.4583333333333333,0.6979166666666666,0.07864410870073699,1000.0,0.20821012964006513,0.25666450851713307
dinov2_local_grid,plaster_table_randomized,96,3,51.71263986825943,50.76534862915675,52.36411002079646,3.344773321349027,0.45357111585977716,1.0,1.0,1.0,0.0,1000.0,0.34537811841194827,0.09042829818402727
dinov2_local_grid,wood_table_randomized,96,3,48.56457996368408,46.38672798871994,50.33959396978219,7.345510011802099,1.4948222223626724,1.0,1.0,1.0,0.0,1000.0,0.34752843047802645,0.1245919567954843
dinov2_spatial_softmax,plaster_table_randomized,96,3,49.67782906691233,49.01567050218583,50.23431895971298,2.9472765450168383,0.1894142974080784,1.0,1.0,1.0,0.0,1000.0,0.35444111997882527,0.11130725117982365
dinov2_spatial_softmax,wood_table_randomized,96,3,49.09811137119929,48.18366480171681,49.862537472943465,3.521101908039176,0.47723232942535343,1.0,1.0,1.0,0.0,1000.0,0.357651239571472,0.11855483216641005
nature_cnn_local_grid,plaster_table_randomized,96,3,46.70842653016249,45.28604208181302,47.914422855526205,6.575681986492495,0.08388974698561744,1.0,1.0,1.0,0.0,1000.0,0.34815711838503677,0.12881922738354964
nature_cnn_local_grid,wood_table_randomized,96,3,38.07858331004778,33.710284257556005,41.71503039846818,14.043733973401931,3.2468082020790767,0.875,0.7708333333333334,0.9583333333333334,0.08267972847076846,1000.0,0.30503901606425643,0.17130453719679886
